Year	Named Storms	Named Storm Days	Hurricanes	Hurricane Days	Intense Hurricanes	Intense Hurricane Days	ACE	HDP	PDI	NTC	Tropical Storms	Category 1	Category 2	Category 3	Category 4	Category 5
1851	6	23.75	3	7.5	1	1	36.24	20.01	0.24	43	3	2	0	1	0	0
1852	5	33.25	5	23.5	1	2.5	73.28	62.91	0.56	66	0	3	1	1	0	0
1853	8	25	4	20.5	2	9.25	76.49	72	0.72	93	4	1	1	1	1	0
1854	5	14.5	3	7.25	1	2	31	22.86	0.25	41	2	1	1	1	0	0
1855	5	8.5	4	4	1	1	18.12	13.01	0.14	36	1	1	2	1	0	0
1856	6	23.5	4	12.75	2	2.5	48.94	37.05	0.38	61	2	2	0	1	1	0
1857	4	22	3	14.75	0	0	43	34.85	0.31	33	1	1	2	0	0	0
1858	6	21	6	15	0	0	44.79	37.34	0.33	45	0	4	2	0	0	0
1859	8	24	7	19.75	1	3	60.96	56.37	0.5	72	1	2	4	1	0	0
1860	7	29.75	6	17.5	1	1.5	62.06	49.29	0.47	63	1	1	4	1	0	0
1861	8	26.25	6	13.5	0	0	49.71	34.5	0.35	49	2	4	2	0	0	0
1862	6	21	3	13.25	0	0	46.03	36.92	0.35	35	3	1	2	0	0	0
1863	9	26	5	15.75	0	0	50.35	38.77	0.36	49	4	1	4	0	0	0
1864	5	16.75	3	9.5	0	0	26.55	18.62	0.17	29	2	3	0	0	0	0
1865	7	23	3	13	0	0	49.13	38.2	0.38	37	4	1	2	0	0	0
1866	7	31.5	7	28	1	4.5	88.08	83.75	0.75	84	0	3	3	0	1	0
1867	9	29	7	19.25	1	0.75	59.97	49.47	0.45	68	2	2	4	1	0	0
1868	4	16	3	10.5	0	0	34.65	28.48	0.26	28	1	0	3	0	0	0
1869	10	21	7	16.25	1	1	51.02	45.46	0.4	66	3	2	4	1	0	0
1870	11	38.25	10	28.25	2	2.5	87.8	76.54	0.68	102	1	5	3	2	0	0
1871	8	48.25	6	22.5	2	3.25	88.39	62.34	0.65	88	2	3	1	2	0	0
1872	5	41.5	4	22.25	0	0	65.38	48.01	0.43	49	1	3	1	0	0	0
1873	5	35.5	3	20.75	2	2.5	69.47	55.94	0.52	66	2	1	0	2	0	0
1874	7	35.25	4	11	0	0	47.05	23.08	0.28	43	3	3	1	0	0	0
1875	6	37	5	26.25	1	0.5	72.48	61.4	0.52	64	1	3	1	1	0	0
1876	5	31	4	15.25	2	1.25	57.05	39.9	0.41	60	1	1	1	2	0	0
1877	8	49.5	3	20.75	1	0.25	73.36	46.84	0.47	61	5	2	0	1	0	0
1878	12	90	10	50.25	2	10	180.85	141.51	1.4	162	2	4	4	1	1	0
1879	8	43	6	12.25	2	2	63.63	33.59	0.43	75	2	2	2	2	0	0
1880	11	68.75	9	35.5	2	4.75	131.08	97.25	0.99	122	2	6	1	0	2	0
1881	7	37.25	4	15	0	0	59.25	36.18	0.39	46	3	2	2	0	0	0
1882	6	33.75	5	19.5	2	1.25	63.01	48.98	0.46	68	1	2	1	1	1	0
1883	4	28.5	3	20.5	2	4	66.7	59.7	0.55	67	1	1	0	2	0	0
1884	4	35.75	4	22.5	1	2	72.06	58.14	0.53	60	0	2	1	1	0	0
1885	8	41.5	6	13.5	1	0.25	58.32	30.5	0.36	62	2	5	0	1	0	0
1886	12	84.25	10	49.5	4	4.5	166.3	135.76	1.27	155	2	1	5	3	1	0
1887	19	106.25	11	47	2	6.75	181.58	129.99	1.32	169	8	5	4	2	0	0
1888	9	50.75	6	21	2	2.25	84.95	58.57	0.61	86	3	2	2	2	0	0
1889	9	73.75	6	22.25	0	0	104.04	56.24	0.67	73	3	4	2	0	0	0
1890	4	19.25	2	7.25	1	2	33.35	23.68	0.25	38	2	1	0	1	0	0
1891	10	66	7	39.5	1	1.25	116.11	94.87	0.82	98	3	3	3	1	0	0
1892	9	73.5	5	32.5	0	0	115.84	82.35	0.79	77	4	2	3	0	0	0
1893	12	98.75	10	61.5	5	22	231.15	195.82	1.92	234	2	1	4	4	1	0
1894	7	60	5	39	4	9	135.42	117.71	1.1	132	2	0	1	3	1	0
1895	6	42.75	2	16.5	0	0	68.77	48.58	0.5	42	4	0	2	0	0	0
1896	7	59.5	6	41.5	2	6.25	136.08	120.5	1.09	113	1	0	4	2	0	0
1897	6	41	3	11.75	0	0	54.54	29.88	0.35	41	3	2	1	0	0	0
1898	11	72	5	23.5	1	1.5	113.24	69.17	0.8	86	6	3	1	0	1	0
1899	9	71	5	37	2	16.5	149.9	122.73	1.26	149	4	0	3	1	1	0
1900	7	52.25	3	19.25	2	3.25	83.71	55.92	0.62	77	4	0	1	1	1	0
1901	12	80.25	5	17.5	0	0	93.02	41.84	0.56	74	7	4	1	0	0	0
1902	5	24.25	3	7	0	0	32.65	18.01	0.21	30	2	1	2	0	0	0
1903	10	60.25	7	30.25	1	3.75	102.07	73.93	0.72	98	3	3	3	1	0	0
1904	5	26.5	3	4	0	0	24.78	7.44	0.13	29	2	3	0	0	0	0
1905	5	26.25	1	3.25	1	1.25	28.38	10.95	0.18	34	4	0	0	1	0	0
1906	11	93.75	6	36.5	3	11	162.88	113.88	1.25	151	5	2	1	2	1	0
1907	5	20.5	0	0	0	0	13.06	0	0.05	16	5	0	0	0	0	0
1908	10	60	6	26.5	1	2.75	95.11	66.84	0.67	89	4	2	3	1	0	0
1909	11	54.25	6	24	4	6.5	92.22	70.09	0.7	121	5	0	2	4	0	0
1910	5	27	3	18.5	1	2.75	64.27	57.27	0.54	55	2	0	2	0	1	0
1911	6	30	3	7	0	0	34.66	16.44	0.21	34	3	1	2	0	0	0
1912	7	39.25	4	13.75	1	1.75	56.49	35.01	0.38	59	3	2	1	1	0	0
1913	6	35.5	4	4	0	0	35.6	7.67	0.18	36	2	4	0	0	0	0
1914	1	3.25	0	0	0	0	2.53	0	0.01	3	1	0	0	0	0	0
1915	5	43	4	33.25	3	10.75	118.12	109.72	1.04	115	1	0	1	1	2	0
1916	14	88.25	11	46.75	6	10.75	176.65	143.16	1.4	196	3	1	4	6	0	0
1917	3	19.75	2	13.5	2	5.75	51.85	46.58	0.45	60	1	0	0	2	0	0
1918	5	22.5	3	7.75	0	0	28.6	17.15	0.18	30	2	1	2	0	0	0
1919	3	19.5	1	10	1	5.75	48.04	40.75	0.45	48	2	0	0	0	1	0
1920	4	22.75	4	7.75	0	0	31.08	19.62	0.21	31	0	2	2	0	0	0
1921	6	39.5	4	19.25	2	4.5	75.07	59.37	0.59	78	2	1	1	1	1	0
1922	4	28.25	2	11.75	1	5.75	57.52	46.32	0.53	57	2	0	1	0	1	0
1923	7	37.5	3	13.25	1	2.5	54.38	38.72	0.39	58	4	0	2	1	0	0
1924	8	50.75	5	23	2	5	89.4	69.23	0.69	92	3	1	2	1	1	0
1925	2	6.75	1	1.5	0	0	6.77	3.19	0.04	10	1	0	1	0	0	0
1926	11	86.75	8	55	6	23	222.36	196.61	2	229	3	0	2	2	4	0
1927	7	36.75	4	13.25	2	3.75	56.04	40.57	0.42	72	3	1	1	2	0	0
1928	6	43.5	4	12.25	1	5.5	75.11	51.47	0.67	70	2	2	1	0	0	1
